1,L'Authentique,Lampe à raclette traditionnelle
2,Le Mastodonte,Combiné raclette-pierrade-fondue-crêpière-friteuse-salamandre
3,L'Éco-Chauffe,Appareil à raclette bon marché
4,La Flamme Pro,Salamandre professionnelle haute puissance
5,Le Petit Gourmet,Appareil à raclette 2 poêlons compact
6,L'Infrarouge 500,Rampe de chauffe infrarouge
7,Le Sommet de l'Alpage,Appareil à raclette demi-meule professionnel
8,Le Duo-Volcan,Combiné duo pierre de lave
9,Le Festin Familial,Appareil à raclette multifonction 8 personnes
10,La Salamandre des Chefs,Salamandre de comptoir à plafond mobile
11,Le Grill-Fromage,Appareil à raclette avec plaque grill intégrée
12,Le Berger Nomade,Machine à raclette d'alpage à gaz
13,Le Radiant Latéral,Système de chauffe latéral pour fromage
14,Le Grand Banquet,Combiné gastronomique 12 convives
15,Le Rétro-Fonte,Appareil à raclette vintage en fonte
16,La Meule d'Or,Lampe à raclette traditionnelle
17,Le Brasero du Tenrac,Combiné raclette-pierrade-fondue-crêpière-friteuse-salamandre
18,L'Avalanche,Appareil à raclette bon marché
19,Le Gratinateur 3000,Salamandre professionnelle haute puissance
20,Le Refuge,Appareil à raclette 2 poêlons compact
21,La Chauffe du Mont,Rampe de chauffe infrarouge
22,L'Artisanat,Appareil à raclette demi-meule professionnel
23,Le Poly-Gourmand,Combiné duo pierre de lave
24,La Roche Noire,Appareil à raclette multifonction 8 personnes
25,Le Brasier d'Argent,Salamandre de comptoir à plafond mobile
26,L'Express-Fromage,Appareil à raclette avec plaque grill intégrée
27,Le Chaudron Magique,Machine à raclette d'alpage à gaz
28,La Cime de Saveurs,Système de chauffe latéral pour fromage
29,Le Fondant Royal,Combiné gastronomique 12 convives
30,L'Héritage des Alpages,Appareil à raclette vintage en fonte
